"gemeente","dwel_type","class_2","class_1","class_3"
"Schouwen-Duiveland","hoekwoning",2950,2360,3540
"Simpelveld","hoekwoning",3350,2680,4020
"Sint Anthonis","hoekwoning",3150,2520,3780
"Sint-Michielsgestel","hoekwoning",3550,2840,4260
"Sint-Oedenrode","hoekwoning",3750,3000,4500
"Sittard-Geleen","hoekwoning",3550,2840,4260
"Skarsterlân","hoekwoning",2700,2160,3240
"Sliedrecht","hoekwoning",3500,2800,4200
"Slochteren","hoekwoning",2850,2280,3420
"Sluis","hoekwoning",2700,2160,3240
"Smallingerland","hoekwoning",2950,2360,3540
"Soest","hoekwoning",3800,3040,4560
"Someren","hoekwoning",3650,2920,4380
"Son en Breugel","hoekwoning",3850,3080,4620
"Spijkenisse","hoekwoning",3750,3000,4500
"Stadskanaal","hoekwoning",3000,2400,3600
"Staphorst","hoekwoning",3500,2800,4200
"Stede Broec","hoekwoning",3350,2680,4020
"Steenbergen","hoekwoning",3350,2680,4020
"Steenwijkerland","hoekwoning",3000,2400,3600
"Stein (L.)","hoekwoning",3600,2880,4320
"Stichtse Vecht","hoekwoning",3750,3000,4500
"Strijen","hoekwoning",3400,2720,4080
"Sudwest-Fryslan","hoekwoning",2750,2200,3300
"Terneuzen","hoekwoning",2850,2280,3420
"Terschelling","hoekwoning",2850,2280,3420
"Texel","hoekwoning",3350,2680,4020
"Teylingen","hoekwoning",3700,2960,4440
"Tholen","hoekwoning",3150,2520,3780
"Tiel","hoekwoning",3500,2800,4200
"Tilburg","hoekwoning",3550,2840,4260
"Tubbergen","hoekwoning",3400,2720,4080
"Twenterand","hoekwoning",3300,2640,3960
"Tynaarlo","hoekwoning",3100,2480,3720
"Tytsjerksteradiel","hoekwoning",2750,2200,3300
"Ubbergen","hoekwoning",3150,2520,3780
"Uden","hoekwoning",3750,3000,4500
"Uitgeest","hoekwoning",3400,2720,4080
"Uithoorn","hoekwoning",3650,2920,4380
"Urk","hoekwoning",4050,3240,4860
"Utrecht (gemeente)","hoekwoning",3250,2600,3900
"Utrechtse Heuvelrug","hoekwoning",3400,2720,4080
"Vaals","hoekwoning",3300,2640,3960
"Valkenburg aan de Geul","hoekwoning",3550,2840,4260
"Valkenswaard","hoekwoning",3550,2840,4260
"Veendam","hoekwoning",3100,2480,3720
"Veenendaal","hoekwoning",3800,3040,4560
"Veere","hoekwoning",2950,2360,3540
"Veghel","hoekwoning",3700,2960,4440
"Veldhoven","hoekwoning",3700,2960,4440
"Velsen","hoekwoning",3550,2840,4260
"Venlo","hoekwoning",3500,2800,4200
"Venray","hoekwoning",3600,2880,4320
"Vianen","hoekwoning",3450,2760,4140
"Vlaardingen","hoekwoning",3550,2840,4260
"Vlagtwedde","hoekwoning",3000,2400,3600
"Vlieland","hoekwoning",3050,2440,3660
"Vlissingen","hoekwoning",2950,2360,3540
"Vlist","hoekwoning",3100,2480,3720
"Voerendaal","hoekwoning",3450,2760,4140
"Voorschoten","hoekwoning",3700,2960,4440
"Voorst","hoekwoning",3150,2520,3780
"Vught","hoekwoning",3500,2800,4200
"Waalre","hoekwoning",3700,2960,4440
"Waalwijk","hoekwoning",3400,2720,4080
"Waddinxveen","hoekwoning",3650,2920,4380
"Wageningen","hoekwoning",3100,2480,3720
"Wassenaar","hoekwoning",3600,2880,4320
"Waterland","hoekwoning",3500,2800,4200
"Weert","hoekwoning",3400,2720,4080
"Weesp","hoekwoning",3300,2640,3960
"Werkendam","hoekwoning",3450,2760,4140
"West Maas en Waal","hoekwoning",3200,2560,3840
"Westerveld","hoekwoning",2850,2280,3420
"Westervoort","hoekwoning",3450,2760,4140
"Westland","hoekwoning",3750,3000,4500
"Weststellingwerf","hoekwoning",2750,2200,3300
"Westvoorne","hoekwoning",3450,2760,4140
"Wierden","hoekwoning",3550,2840,4260
"Wijchen","hoekwoning",3600,2880,4320
"Wijdemeren","hoekwoning",3550,2840,4260
"Wijk bij Duurstede","hoekwoning",3800,3040,4560
"Winsum","hoekwoning",2950,2360,3540
"Winterswijk","hoekwoning",3200,2560,3840
"Woensdrecht","hoekwoning",3400,2720,4080
"Woerden","hoekwoning",3600,2880,4320
"De Wolden","hoekwoning",3000,2400,3600
"Wormerland","hoekwoning",3400,2720,4080
"Woudenberg","hoekwoning",3550,2840,4260
"Woudrichem","hoekwoning",3450,2760,4140
"Zaanstad","hoekwoning",3350,2680,4020
"Zaltbommel","hoekwoning",3350,2680,4020
"Zandvoort","hoekwoning",3700,2960,4440
"Zederik","hoekwoning",3300,2640,3960
"Zeevang","hoekwoning",3600,2880,4320
"Zeewolde","hoekwoning",3700,2960,4440
"Zeist","hoekwoning",3450,2760,4140
"Zevenaar","hoekwoning",3300,2640,3960
"Zijpe","hoekwoning",3250,2600,3900
"Zoetermeer","hoekwoning",3800,3040,4560
"Zoeterwoude","hoekwoning",3700,2960,4440
"Zuidhorn","hoekwoning",2850,2280,3420
"Zuidplas","hoekwoning",3750,3000,4500
"Zundert","hoekwoning",3400,2720,4080
"Zutphen","hoekwoning",3100,2480,3720
"Zwartewaterland","hoekwoning",3300,2640,3960
"Zwijndrecht","hoekwoning",3550,2840,4260
"Zwolle","hoekwoning",3400,2720,4080
"Aa en Hunze","twee_onder_een_kap_woning",3500,2800,4200
"Aalburg","twee_onder_een_kap_woning",4250,3400,5100
"Aalsmeer","twee_onder_een_kap_woning",4300,3440,5160
"Aalten","twee_onder_een_kap_woning",3700,2960,4440
"Achtkarspelen","twee_onder_een_kap_woning",3250,2600,3900
"Alblasserdam","twee_onder_een_kap_woning",4050,3240,4860
"Albrandswaard","twee_onder_een_kap_woning",4050,3240,4860
"Alkmaar","twee_onder_een_kap_woning",3750,3000,4500
"Almelo","twee_onder_een_kap_woning",3850,3080,4620
"Almere","twee_onder_een_kap_woning",4750,3800,5700
"Alphen aan den Rijn","twee_onder_een_kap_woning",4250,3400,5100
"Alphen-Chaam","twee_onder_een_kap_woning",3800,3040,4560
"Ameland","twee_onder_een_kap_woning",3200,2560,3840
"Amersfoort","twee_onder_een_kap_woning",4300,3440,5160
"Amstelveen","twee_onder_een_kap_woning",4750,3800,5700
"Amsterdam","twee_onder_een_kap_woning",3750,3000,4500
"Apeldoorn","twee_onder_een_kap_woning",3750,3000,4500
"Appingedam","twee_onder_een_kap_woning",3100,2480,3720
"Arnhem","twee_onder_een_kap_woning",3850,3080,4620
"Assen","twee_onder_een_kap_woning",3800,3040,4560
"Asten","twee_onder_een_kap_woning",4300,3440,5160
"Baarle-Nassau","twee_onder_een_kap_woning",3750,3000,4500
"Baarn","twee_onder_een_kap_woning",4050,3240,4860
"Barendrecht","twee_onder_een_kap_woning",4750,3800,5700
"Barneveld","twee_onder_een_kap_woning",4350,3480,5220
"Bedum","twee_onder_een_kap_woning",3250,2600,3900
"Beek (L.)","twee_onder_een_kap_woning",3950,3160,4740
"Beemster","twee_onder_een_kap_woning",4000,3200,4800
"Beesel","twee_onder_een_kap_woning",3800,3040,4560
"Bellingwedde","twee_onder_een_kap_woning",3250,2600,3900
"Bergambacht","twee_onder_een_kap_woning",4100,3280,4920
"Bergeijk","twee_onder_een_kap_woning",4100,3280,4920
"Bergen (L.)","twee_onder_een_kap_woning",3700,2960,4440
"Bergen (NH.)","twee_onder_een_kap_woning",3800,3040,4560
"Bergen op Zoom","twee_onder_een_kap_woning",3900,3120,4680
"Berkelland","twee_onder_een_kap_woning",3850,3080,4620
"Bernheze","twee_onder_een_kap_woning",4250,3400,5100
"Bernisse","twee_onder_een_kap_woning",4050,3240,4860
"Best","twee_onder_een_kap_woning",4550,3640,5460
"Beuningen","twee_onder_een_kap_woning",4350,3480,5220
"Beverwijk","twee_onder_een_kap_woning",3850,3080,4620
"het Bildt","twee_onder_een_kap_woning",2800,2240,3360
"De Bilt","twee_onder_een_kap_woning",4400,3520,5280
"Binnenmaas","twee_onder_een_kap_woning",3950,3160,4740
"Bladel","twee_onder_een_kap_woning",4050,3240,4860
"Blaricum","twee_onder_een_kap_woning",3850,3080,4620
"Bloemendaal","twee_onder_een_kap_woning",4550,3640,5460
"Boarnsterhim","twee_onder_een_kap_woning",3200,2560,3840
"Bodegraven-Reeuwijk","twee_onder_een_kap_woning",4000,3200,4800
"Boekel","twee_onder_een_kap_woning",4200,3360,5040
"Ten Boer","twee_onder_een_kap_woning",3300,2640,3960
"Borger-Odoorn","twee_onder_een_kap_woning",3350,2680,4020
"Borne","twee_onder_een_kap_woning",3950,3160,4740
"Borsele","twee_onder_een_kap_woning",3400,2720,4080
"Boskoop","twee_onder_een_kap_woning",3950,3160,4740
"Boxmeer","twee_onder_een_kap_woning",3950,3160,4740
"Boxtel","twee_onder_een_kap_woning",4100,3280,4920
"Breda","twee_onder_een_kap_woning",4000,3200,4800
"Brielle","twee_onder_een_kap_woning",3950,3160,4740
"Bronckhorst","twee_onder_een_kap_woning",4050,3240,4860
"Brummen","twee_onder_een_kap_woning",3800,3040,4560
"Brunssum","twee_onder_een_kap_woning",3750,3000,4500
"Bunnik","twee_onder_een_kap_woning",3900,3120,4680
"Bunschoten","twee_onder_een_kap_woning",4500,3600,5400
"Buren","twee_onder_een_kap_woning",4050,3240,4860
"Bussum","twee_onder_een_kap_woning",4500,3600,5400
"Capelle aan den IJssel","twee_onder_een_kap_woning",4450,3560,5340
"Castricum","twee_onder_een_kap_woning",3800,3040,4560
"Coevorden","twee_onder_een_kap_woning",3650,2920,4380
"Cranendonck","twee_onder_een_kap_woning",4050,3240,4860
"Cromstrijen","twee_onder_een_kap_woning",4000,3200,4800
"Cuijk","twee_onder_een_kap_woning",3900,3120,4680
"Culemborg","twee_onder_een_kap_woning",4250,3400,5100
"Dalfsen","twee_onder_een_kap_woning",3850,3080,4620
"Dantumadiel","twee_onder_een_kap_woning",3050,2440,3660
"Delft","twee_onder_een_kap_woning",3900,3120,4680
"Delfzijl","twee_onder_een_kap_woning",3250,2600,3900
"Deurne","twee_onder_een_kap_woning",4050,3240,4860
"Deventer","twee_onder_een_kap_woning",3900,3120,4680
"Diemen","twee_onder_een_kap_woning",4850,3880,5820
"Dinkelland","twee_onder_een_kap_woning",4250,3400,5100
"Dirksland","twee_onder_een_kap_woning",3950,3160,4740
"Doesburg","twee_onder_een_kap_woning",3700,2960,4440
"Doetinchem","twee_onder_een_kap_woning",3900,3120,4680
"Dongen","twee_onder_een_kap_woning",3950,3160,4740
"Dongeradeel","twee_onder_een_kap_woning",2800,2240,3360
"Dordrecht","twee_onder_een_kap_woning",4000,3200,4800
"Drechterland","twee_onder_een_kap_woning",3850,3080,4620
"Drimmelen","twee_onder_een_kap_woning",3750,3000,4500
"Dronten","twee_onder_een_kap_woning",4050,3240,4860
"Druten","twee_onder_een_kap_woning",4200,3360,5040
"Duiven","twee_onder_een_kap_woning",4100,3280,4920
"Echt-Susteren","twee_onder_een_kap_woning",3850,3080,4620
"Edam-Volendam","twee_onder_een_kap_woning",3650,2920,4380
"Ede","twee_onder_een_kap_woning",3950,3160,4740
"Eemnes","twee_onder_een_kap_woning",4200,3360,5040
"Eemsmond","twee_onder_een_kap_woning",3000,2400,3600
"Eersel","twee_onder_een_kap_woning",4100,3280,4920
"Eijsden-Margraten","twee_onder_een_kap_woning",3900,3120,4680
"Eindhoven","twee_onder_een_kap_woning",4000,3200,4800
"Elburg","twee_onder_een_kap_woning",3900,3120,4680
"Emmen","twee_onder_een_kap_woning",3800,3040,4560
"Enkhuizen","twee_onder_een_kap_woning",3650,2920,4380
"Enschede","twee_onder_een_kap_woning",3700,2960,4440
"Epe","twee_onder_een_kap_woning",3900,3120,4680
"Ermelo","twee_onder_een_kap_woning",4000,3200,4800
"Etten-Leur","twee_onder_een_kap_woning",4500,3600,5400
"Ferwerderadiel","twee_onder_een_kap_woning",2850,2280,3420
"Franekeradeel","twee_onder_een_kap_woning",2950,2360,3540
"Gaasterlan-Sleat","twee_onder_een_kap_woning",3050,2440,3660
"Geertruidenberg","twee_onder_een_kap_woning",3850,3080,4620
"Geldermalsen","twee_onder_een_kap_woning",4000,3200,4800
"Geldrop-Mierlo","twee_onder_een_kap_woning",4050,3240,4860
"Gemert-Bakel","twee_onder_een_kap_woning",4150,3320,4980
"Gennep","twee_onder_een_kap_woning",3900,3120,4680
"Giessenlanden","twee_onder_een_kap_woning",3950,3160,4740
"Gilze en Rijen","twee_onder_een_kap_woning",3900,3120,4680
"Goedereede","twee_onder_een_kap_woning",3800,3040,4560
"Goes","twee_onder_een_kap_woning",3450,2760,4140
"Goirle","twee_onder_een_kap_woning",3800,3040,4560
"Gorinchem","twee_onder_een_kap_woning",4150,3320,4980
"Gouda","twee_onder_een_kap_woning",3900,3120,4680
"Graafstroom","twee_onder_een_kap_woning",3850,3080,4620
"Graft-De Rijp","twee_onder_een_kap_woning",3850,3080,4620
"Grave","twee_onder_een_kap_woning",3950,3160,4740
"'s-Gravenhage (gemeente)","twee_onder_een_kap_woning",4600,3680,5520
"Groesbeek","twee_onder_een_kap_woning",3950,3160,4740
"Groningen (gemeente)","twee_onder_een_kap_woning",3800,3040,4560
"Grootegast","twee_onder_een_kap_woning",3600,2880,4320
"Gulpen-Wittem","twee_onder_een_kap_woning",3750,3000,4500
"Haaksbergen","twee_onder_een_kap_woning",4100,3280,4920
"Haaren","twee_onder_een_kap_woning",3950,3160,4740
"Haarlem","twee_onder_een_kap_woning",3600,2880,4320
"Haarlemmerliede en Spaarnwoude","twee_onder_een_kap_woning",4150,3320,4980
"Haarlemmermeer","twee_onder_een_kap_woning",4400,3520,5280
"Halderberge","twee_onder_een_kap_woning",3850,3080,4620
"Hardenberg","twee_onder_een_kap_woning",4050,3240,4860
"Harderwijk","twee_onder_een_kap_woning",4050,3240,4860
"Hardinxveld-Giessendam","twee_onder_een_kap_woning",3800,3040,4560
"Haren","twee_onder_een_kap_woning",3650,2920,4380
"Harenkarspel","twee_onder_een_kap_woning",3900,3120,4680
"Harlingen","twee_onder_een_kap_woning",3350,2680,4020
"Hattem","twee_onder_een_kap_woning",3650,2920,4380
"Heemskerk","twee_onder_een_kap_woning",4050,3240,4860
"Heemstede","twee_onder_een_kap_woning",4400,3520,5280
"Heerde","twee_onder_een_kap_woning",3800,3040,4560
"Heerenveen","twee_onder_een_kap_woning",3250,2600,3900
"Heerhugowaard","twee_onder_een_kap_woning",4100,3280,4920
"Heerlen","twee_onder_een_kap_woning",3750,3000,4500
"Heeze-Leende","twee_onder_een_kap_woning",4100,3280,4920
"Heiloo","twee_onder_een_kap_woning",3750,3000,4500
"Den Helder","twee_onder_een_kap_woning",3750,3000,4500
"Hellendoorn","twee_onder_een_kap_woning",3900,3120,4680
"Hellevoetsluis","twee_onder_een_kap_woning",4400,3520,5280
"Helmond","twee_onder_een_kap_woning",4300,3440,5160
"Hendrik-Ido-Ambacht","twee_onder_een_kap_woning",4200,3360,5040
"Hengelo (O.)","twee_onder_een_kap_woning",3700,2960,4440
"'s-Hertogenbosch","twee_onder_een_kap_woning",4200,3360,5040
"Heumen","twee_onder_een_kap_woning",4100,3280,4920
"Heusden","twee_onder_een_kap_woning",4100,3280,4920
"Hillegom","twee_onder_een_kap_woning",4150,3320,4980
"Hilvarenbeek","twee_onder_een_kap_woning",3900,3120,4680
"Hilversum","twee_onder_een_kap_woning",4300,3440,5160
"Hof van Twente","twee_onder_een_kap_woning",4000,3200,4800
"Hollands Kroon","twee_onder_een_kap_woning",3800,3040,4560
"Hoogeveen","twee_onder_een_kap_woning",3750,3000,4500
"Hoogezand-Sappemeer","twee_onder_een_kap_woning",3550,2840,4260
"Hoorn","twee_onder_een_kap_woning",4100,3280,4920
"Horst aan de Maas","twee_onder_een_kap_woning",4000,3200,4800
"Houten","twee_onder_een_kap_woning",4350,3480,5220
"Huizen","twee_onder_een_kap_woning",4150,3320,4980
"Hulst","twee_onder_een_kap_woning",3200,2560,3840
"IJsselstein","twee_onder_een_kap_woning",4900,3920,5880
"Kaag en Braassem","twee_onder_een_kap_woning",4050,3240,4860
"Kampen","twee_onder_een_kap_woning",4050,3240,4860
"Kapelle","twee_onder_een_kap_woning",3300,2640,3960
"Katwijk","twee_onder_een_kap_woning",4300,3440,5160
"Kerkrade","twee_onder_een_kap_woning",3750,3000,4500
"Koggenland","twee_onder_een_kap_woning",3950,3160,4740
"Kollumerland en Nieuwkruisland","twee_onder_een_kap_woning",2900,2320,3480
"Korendijk","twee_onder_een_kap_woning",3850,3080,4620
"Krimpen aan den IJssel","twee_onder_een_kap_woning",3750,3000,4500
"Laarbeek","twee_onder_een_kap_woning",4000,3200,4800
"Landerd","twee_onder_een_kap_woning",4400,3520,5280
"Landgraaf","twee_onder_een_kap_woning",3700,2960,4440
"Landsmeer","twee_onder_een_kap_woning",4350,3480,5220
"Langedijk","twee_onder_een_kap_woning",3850,3080,4620
"Lansingerland","twee_onder_een_kap_woning",4400,3520,5280
"Laren (NH.)","twee_onder_een_kap_woning",4250,3400,5100
"Leek","twee_onder_een_kap_woning",3550,2840,4260
"Leerdam","twee_onder_een_kap_woning",4050,3240,4860
"Leeuwarden","twee_onder_een_kap_woning",3450,2760,4140
"Leeuwarderadeel","twee_onder_een_kap_woning",3150,2520,3780
"Leiden","twee_onder_een_kap_woning",4100,3280,4920
"Leiderdorp","twee_onder_een_kap_woning",4450,3560,5340
"Leidschendam-Voorburg","twee_onder_een_kap_woning",4400,3520,5280
"Lelystad","twee_onder_een_kap_woning",4250,3400,5100
"Lemsterland","twee_onder_een_kap_woning",3300,2640,3960
"Leudal","twee_onder_een_kap_woning",3900,3120,4680
"Leusden","twee_onder_een_kap_woning",4100,3280,4920
"Liesveld","twee_onder_een_kap_woning",3700,2960,4440
"Lingewaal","twee_onder_een_kap_woning",4100,3280,4920
"Lingewaard","twee_onder_een_kap_woning",4150,3320,4980
"Lisse","twee_onder_een_kap_woning",4150,3320,4980
"Littenseradiel","twee_onder_een_kap_woning",3050,2440,3660
"Lochem","twee_onder_een_kap_woning",3850,3080,4620
"Loon op Zand","twee_onder_een_kap_woning",4050,3240,4860
"Lopik","twee_onder_een_kap_woning",4250,3400,5100
"Loppersum","twee_onder_een_kap_woning",3000,2400,3600
"Losser","twee_onder_een_kap_woning",3950,3160,4740
"Maasdonk","twee_onder_een_kap_woning",4200,3360,5040
"Maasdriel","twee_onder_een_kap_woning",4200,3360,5040
"Maasgouw","twee_onder_een_kap_woning",3700,2960,4440
"Maassluis","twee_onder_een_kap_woning",4700,3760,5640
"Maastricht","twee_onder_een_kap_woning",3700,2960,4440
"De Marne","twee_onder_een_kap_woning",2900,2320,3480
"Marum","twee_onder_een_kap_woning",3500,2800,4200
"Medemblik","twee_onder_een_kap_woning",3800,3040,4560
"Meerssen","twee_onder_een_kap_woning",3900,3120,4680
"Menameradiel","twee_onder_een_kap_woning",2950,2360,3540
"Menterwolde","twee_onder_een_kap_woning",3250,2600,3900
"Meppel","twee_onder_een_kap_woning",3700,2960,4440
"Middelburg (Z.)","twee_onder_een_kap_woning",3450,2760,4140
"Middelharnis","twee_onder_een_kap_woning",3900,3120,4680
"Midden-Delfland","twee_onder_een_kap_woning",4250,3400,5100
"Midden-Drenthe","twee_onder_een_kap_woning",3650,2920,4380
"Mill en Sint Hubert","twee_onder_een_kap_woning",4150,3320,4980
"Millingen aan de Rijn","twee_onder_een_kap_woning",4050,3240,4860
"Moerdijk","twee_onder_een_kap_woning",3850,3080,4620
"Montferland","twee_onder_een_kap_woning",3950,3160,4740
"Montfoort","twee_onder_een_kap_woning",4400,3520,5280
"Mook en Middelaar","twee_onder_een_kap_woning",3950,3160,4740
"Muiden","twee_onder_een_kap_woning",4250,3400,5100
"Naarden","twee_onder_een_kap_woning",4750,3800,5700
"Neder-Betuwe","twee_onder_een_kap_woning",3950,3160,4740
"Nederlek","twee_onder_een_kap_woning",3800,3040,4560
"Nederweert","twee_onder_een_kap_woning",3900,3120,4680
"Neerijnen","twee_onder_een_kap_woning",4050,3240,4860
"Nieuwegein","twee_onder_een_kap_woning",4350,3480,5220
"Nieuwkoop","twee_onder_een_kap_woning",3900,3120,4680
"Nieuw-Lekkerland","twee_onder_een_kap_woning",3750,3000,4500
"Nijkerk","twee_onder_een_kap_woning",4050,3240,4860
"Nijmegen","twee_onder_een_kap_woning",3900,3120,4680
"Noord-Beveland","twee_onder_een_kap_woning",3050,2440,3660
"Noordenveld","twee_onder_een_kap_woning",3550,2840,4260
"Noordoostpolder","twee_onder_een_kap_woning",4050,3240,4860
"Noordwijk","twee_onder_een_kap_woning",4250,3400,5100
"Noordwijkerhout","twee_onder_een_kap_woning",4050,3240,4860
"Nuenen, Gerwen en Nederwetten","twee_onder_een_kap_woning",4200,3360,5040
"Nunspeet","twee_onder_een_kap_woning",4050,3240,4860
"Nuth","twee_onder_een_kap_woning",3850,3080,4620
"Oegstgeest","twee_onder_een_kap_woning",4600,3680,5520
"Oirschot","twee_onder_een_kap_woning",4300,3440,5160
"Oisterwijk","twee_onder_een_kap_woning",3950,3160,4740
"Oldambt","twee_onder_een_kap_woning",3300,2640,3960
"Oldebroek","twee_onder_een_kap_woning",4050,3240,4860
"Oldenzaal","twee_onder_een_kap_woning",4100,3280,4920
"Olst-Wijhe","twee_onder_een_kap_woning",3950,3160,4740
"Ommen","twee_onder_een_kap_woning",3950,3160,4740
"Onderbanken","twee_onder_een_kap_woning",3700,2960,4440
"Oost Gelre","twee_onder_een_kap_woning",4000,3200,4800
"Oosterhout","twee_onder_een_kap_woning",4150,3320,4980
"Oostflakkee","twee_onder_een_kap_woning",3800,3040,4560
"Ooststellingwerf","twee_onder_een_kap_woning",3300,2640,3960
"Oostzaan","twee_onder_een_kap_woning",3900,3120,4680
"Opmeer","twee_onder_een_kap_woning",3700,2960,4440
"Opsterland","twee_onder_een_kap_woning",3150,2520,3780
"Oss","twee_onder_een_kap_woning",4000,3200,4800
"Oud-Beijerland","twee_onder_een_kap_woning",4150,3320,4980
"Oude IJsselstreek","twee_onder_een_kap_woning",3800,3040,4560
"Ouder-Amstel","twee_onder_een_kap_woning",4500,3600,5400
"Ouderkerk","twee_onder_een_kap_woning",3850,3080,4620
"Oudewater","twee_onder_een_kap_woning",4050,3240,4860
"Overbetuwe","twee_onder_een_kap_woning",4000,3200,4800
"Papendrecht","twee_onder_een_kap_woning",4350,3480,5220
"Peel en Maas","twee_onder_een_kap_woning",4000,3200,4800
"Pekela","twee_onder_een_kap_woning",3350,2680,4020
"Pijnacker-Nootdorp","twee_onder_een_kap_woning",4300,3440,5160
"Purmerend","twee_onder_een_kap_woning",4300,3440,5160
"Putten","twee_onder_een_kap_woning",4000,3200,4800
"Raalte","twee_onder_een_kap_woning",3850,3080,4620
"Reimerswaal","twee_onder_een_kap_woning",3350,2680,4020
"Renkum","twee_onder_een_kap_woning",3650,2920,4380
"Renswoude","twee_onder_een_kap_woning",4350,3480,5220
"Reusel-De Mierden","twee_onder_een_kap_woning",4150,3320,4980
"Rheden","twee_onder_een_kap_woning",3500,2800,4200
"Rhenen","twee_onder_een_kap_woning",4050,3240,4860
"Ridderkerk","twee_onder_een_kap_woning",3950,3160,4740
"Rijnwaarden","twee_onder_een_kap_woning",3900,3120,4680
"Rijnwoude","twee_onder_een_kap_woning",3800,3040,4560
"Rijssen-Holten","twee_onder_een_kap_woning",3800,3040,4560
"Rijswijk (ZH.)","twee_onder_een_kap_woning",4600,3680,5520
"Roerdalen","twee_onder_een_kap_woning",3550,2840,4260
"Roermond","twee_onder_een_kap_woning",3750,3000,4500
"De Ronde Venen","twee_onder_een_kap_woning",4300,3440,5160
"Roosendaal","twee_onder_een_kap_woning",3700,2960,4440
"Rotterdam","twee_onder_een_kap_woning",4200,3360,5040
"Rozendaal","twee_onder_een_kap_woning",3950,3160,4740
"Rucphen","twee_onder_een_kap_woning",3950,3160,4740
"Schagen","twee_onder_een_kap_woning",4050,3240,4860
"Schermer","twee_onder_een_kap_woning",3900,3120,4680
"Scherpenzeel","twee_onder_een_kap_woning",4050,3240,4860
"Schiedam","twee_onder_een_kap_woning",4300,3440,5160
"Schiermonnikoog","twee_onder_een_kap_woning",3500,2800,4200
"Schijndel","twee_onder_een_kap_woning",4200,3360,5040
"Schinnen","twee_onder_een_kap_woning",3850,3080,4620
"Schoonhoven","twee_onder_een_kap_woning",4200,3360,5040
"Schouwen-Duiveland","twee_onder_een_kap_woning",3550,2840,4260
"Simpelveld","twee_onder_een_kap_woning",3650,2920,4380
"Sint Anthonis","twee_onder_een_kap_woning",3700,2960,4440
"Sint-Michielsgestel","twee_onder_een_kap_woning",4200,3360,5040
"Sint-Oedenrode","twee_onder_een_kap_woning",4500,3600,5400
"Sittard-Geleen","twee_onder_een_kap_woning",3750,3000,4500
"Skarsterlân","twee_onder_een_kap_woning",3300,2640,3960
"Sliedrecht","twee_onder_een_kap_woning",3700,2960,4440
"Slochteren","twee_onder_een_kap_woning",3500,2800,4200
"Sluis","twee_onder_een_kap_woning",2950,2360,3540
"Smallingerland","twee_onder_een_kap_woning",3300,2640,3960
"Soest","twee_onder_een_kap_woning",4350,3480,5220
"Someren","twee_onder_een_kap_woning",4300,3440,5160
"Son en Breugel","twee_onder_een_kap_woning",4200,3360,5040
"Spijkenisse","twee_onder_een_kap_woning",4300,3440,5160
"Stadskanaal","twee_onder_een_kap_woning",3550,2840,4260
"Staphorst","twee_onder_een_kap_woning",4150,3320,4980
"Stede Broec","twee_onder_een_kap_woning",3750,3000,4500
"Steenbergen","twee_onder_een_kap_woning",3900,3120,4680
"Steenwijkerland","twee_onder_een_kap_woning",3600,2880,4320
"Stein (L.)","twee_onder_een_kap_woning",3900,3120,4680
"Stichtse Vecht","twee_onder_een_kap_woning",4300,3440,5160
"Strijen","twee_onder_een_kap_woning",3750,3000,4500
"Sudwest-Fryslan","twee_onder_een_kap_woning",3150,2520,3780
"Terneuzen","twee_onder_een_kap_woning",3250,2600,3900
"Terschelling","twee_onder_een_kap_woning",3300,2640,3960
"Texel","twee_onder_een_kap_woning",3500,2800,4200
"Teylingen","twee_onder_een_kap_woning",4300,3440,5160
"Tholen","twee_onder_een_kap_woning",3750,3000,4500
"Tiel","twee_onder_een_kap_woning",4100,3280,4920
"Tilburg","twee_onder_een_kap_woning",4100,3280,4920
"Tubbergen","twee_onder_een_kap_woning",4550,3640,5460
"Twenterand","twee_onder_een_kap_woning",4000,3200,4800
"Tynaarlo","twee_onder_een_kap_woning",3600,2880,4320
"Tytsjerksteradiel","twee_onder_een_kap_woning",3300,2640,3960
"Ubbergen","twee_onder_een_kap_woning",3850,3080,4620
"Uden","twee_onder_een_kap_woning",4350,3480,5220
"Uitgeest","twee_onder_een_kap_woning",3850,3080,4620
"Uithoorn","twee_onder_een_kap_woning",4550,3640,5460
"Urk","twee_onder_een_kap_woning",4600,3680,5520
"Utrecht (gemeente)","twee_onder_een_kap_woning",4150,3320,4980
