"gemeente","dwel_type","class_2","class_1","class_3"
"Utrechtse Heuvelrug","twee_onder_een_kap_woning",4050,3240,4860
"Vaals","twee_onder_een_kap_woning",3700,2960,4440
"Valkenburg aan de Geul","twee_onder_een_kap_woning",3750,3000,4500
"Valkenswaard","twee_onder_een_kap_woning",4000,3200,4800
"Veendam","twee_onder_een_kap_woning",3500,2800,4200
"Veenendaal","twee_onder_een_kap_woning",4100,3280,4920
"Veere","twee_onder_een_kap_woning",3250,2600,3900
"Veghel","twee_onder_een_kap_woning",4350,3480,5220
"Veldhoven","twee_onder_een_kap_woning",4300,3440,5160
"Velsen","twee_onder_een_kap_woning",4000,3200,4800
"Venlo","twee_onder_een_kap_woning",4000,3200,4800
"Venray","twee_onder_een_kap_woning",4100,3280,4920
"Vianen","twee_onder_een_kap_woning",4100,3280,4920
"Vlaardingen","twee_onder_een_kap_woning",4100,3280,4920
"Vlagtwedde","twee_onder_een_kap_woning",3400,2720,4080
"Vlieland","twee_onder_een_kap_woning",3400,2720,4080
"Vlissingen","twee_onder_een_kap_woning",3350,2680,4020
"Vlist","twee_onder_een_kap_woning",3850,3080,4620
"Voerendaal","twee_onder_een_kap_woning",3700,2960,4440
"Voorschoten","twee_onder_een_kap_woning",4250,3400,5100
"Voorst","twee_onder_een_kap_woning",3950,3160,4740
"Vught","twee_onder_een_kap_woning",4200,3360,5040
"Waalre","twee_onder_een_kap_woning",4100,3280,4920
"Waalwijk","twee_onder_een_kap_woning",4050,3240,4860
"Waddinxveen","twee_onder_een_kap_woning",4050,3240,4860
"Wageningen","twee_onder_een_kap_woning",3550,2840,4260
"Wassenaar","twee_onder_een_kap_woning",4850,3880,5820
"Waterland","twee_onder_een_kap_woning",3800,3040,4560
"Weert","twee_onder_een_kap_woning",3900,3120,4680
"Weesp","twee_onder_een_kap_woning",3900,3120,4680
"Werkendam","twee_onder_een_kap_woning",3900,3120,4680
"West Maas en Waal","twee_onder_een_kap_woning",4000,3200,4800
"Westerveld","twee_onder_een_kap_woning",3600,2880,4320
"Westervoort","twee_onder_een_kap_woning",4000,3200,4800
"Westland","twee_onder_een_kap_woning",4550,3640,5460
"Weststellingwerf","twee_onder_een_kap_woning",3200,2560,3840
"Westvoorne","twee_onder_een_kap_woning",3950,3160,4740
"Wierden","twee_onder_een_kap_woning",4000,3200,4800
"Wijchen","twee_onder_een_kap_woning",4100,3280,4920
"Wijdemeren","twee_onder_een_kap_woning",4150,3320,4980
"Wijk bij Duurstede","twee_onder_een_kap_woning",4150,3320,4980
"Winsum","twee_onder_een_kap_woning",3200,2560,3840
"Winterswijk","twee_onder_een_kap_woning",4000,3200,4800
"Woensdrecht","twee_onder_een_kap_woning",3950,3160,4740
"Woerden","twee_onder_een_kap_woning",4150,3320,4980
"De Wolden","twee_onder_een_kap_woning",3850,3080,4620
"Wormerland","twee_onder_een_kap_woning",3700,2960,4440
"Woudenberg","twee_onder_een_kap_woning",4150,3320,4980
"Woudrichem","twee_onder_een_kap_woning",3950,3160,4740
"Zaanstad","twee_onder_een_kap_woning",3500,2800,4200
"Zaltbommel","twee_onder_een_kap_woning",4000,3200,4800
"Zandvoort","twee_onder_een_kap_woning",4150,3320,4980
"Zederik","twee_onder_een_kap_woning",3850,3080,4620
"Zeevang","twee_onder_een_kap_woning",3850,3080,4620
"Zeewolde","twee_onder_een_kap_woning",4600,3680,5520
"Zeist","twee_onder_een_kap_woning",4400,3520,5280
"Zevenaar","twee_onder_een_kap_woning",3850,3080,4620
"Zijpe","twee_onder_een_kap_woning",3850,3080,4620
"Zoetermeer","twee_onder_een_kap_woning",4600,3680,5520
"Zoeterwoude","twee_onder_een_kap_woning",3900,3120,4680
"Zuidhorn","twee_onder_een_kap_woning",3350,2680,4020
"Zuidplas","twee_onder_een_kap_woning",4350,3480,5220
"Zundert","twee_onder_een_kap_woning",3850,3080,4620
"Zutphen","twee_onder_een_kap_woning",3800,3040,4560
"Zwartewaterland","twee_onder_een_kap_woning",4000,3200,4800
"Zwijndrecht","twee_onder_een_kap_woning",4200,3360,5040
"Zwolle","twee_onder_een_kap_woning",3850,3080,4620
"Aa en Hunze","vrijstaande_woning",4200,3360,5040
"Aalburg","vrijstaande_woning",4900,3920,5880
"Aalsmeer","vrijstaande_woning",4800,3840,5760
"Aalten","vrijstaande_woning",4300,3440,5160
"Achtkarspelen","vrijstaande_woning",3650,2920,4380
"Alblasserdam","vrijstaande_woning",4750,3800,5700
"Albrandswaard","vrijstaande_woning",4900,3920,5880
"Alkmaar","vrijstaande_woning",4300,3440,5160
"Almelo","vrijstaande_woning",4500,3600,5400
"Almere","vrijstaande_woning",5250,4200,6300
"Alphen aan den Rijn","vrijstaande_woning",5000,4000,6000
"Alphen-Chaam","vrijstaande_woning",4900,3920,5880
"Ameland","vrijstaande_woning",3900,3120,4680
"Amersfoort","vrijstaande_woning",5250,4200,6300
"Amstelveen","vrijstaande_woning",5300,4240,6360
"Amsterdam","vrijstaande_woning",4600,3680,5520
"Apeldoorn","vrijstaande_woning",4400,3520,5280
"Appingedam","vrijstaande_woning",3950,3160,4740
"Arnhem","vrijstaande_woning",4700,3760,5640
"Assen","vrijstaande_woning",4400,3520,5280
"Asten","vrijstaande_woning",5250,4200,6300
"Baarle-Nassau","vrijstaande_woning",4750,3800,5700
"Baarn","vrijstaande_woning",5050,4040,6060
"Barendrecht","vrijstaande_woning",5300,4240,6360
"Barneveld","vrijstaande_woning",5000,4000,6000
"Bedum","vrijstaande_woning",3800,3040,4560
"Beek (L.)","vrijstaande_woning",4600,3680,5520
"Beemster","vrijstaande_woning",4550,3640,5460
"Beesel","vrijstaande_woning",4650,3720,5580
"Bellingwedde","vrijstaande_woning",4050,3240,4860
"Bergambacht","vrijstaande_woning",4600,3680,5520
"Bergeijk","vrijstaande_woning",4850,3880,5820
"Bergen (L.)","vrijstaande_woning",4800,3840,5760
"Bergen (NH.)","vrijstaande_woning",4350,3480,5220
"Bergen op Zoom","vrijstaande_woning",4900,3920,5880
"Berkelland","vrijstaande_woning",4350,3480,5220
"Bernheze","vrijstaande_woning",4900,3920,5880
"Bernisse","vrijstaande_woning",4650,3720,5580
"Best","vrijstaande_woning",5250,4200,6300
"Beuningen","vrijstaande_woning",5050,4040,6060
"Beverwijk","vrijstaande_woning",4500,3600,5400
"het Bildt","vrijstaande_woning",3500,2800,4200
"De Bilt","vrijstaande_woning",5250,4200,6300
"Binnenmaas","vrijstaande_woning",4650,3720,5580
"Bladel","vrijstaande_woning",4750,3800,5700
"Blaricum","vrijstaande_woning",5550,4440,6660
"Bloemendaal","vrijstaande_woning",5650,4520,6780
"Boarnsterhim","vrijstaande_woning",3800,3040,4560
"Bodegraven-Reeuwijk","vrijstaande_woning",4700,3760,5640
"Boekel","vrijstaande_woning",4850,3880,5820
"Ten Boer","vrijstaande_woning",3950,3160,4740
"Borger-Odoorn","vrijstaande_woning",4250,3400,5100
"Borne","vrijstaande_woning",4800,3840,5760
"Borsele","vrijstaande_woning",3850,3080,4620
"Boskoop","vrijstaande_woning",4500,3600,5400
"Boxmeer","vrijstaande_woning",4800,3840,5760
"Boxtel","vrijstaande_woning",4900,3920,5880
"Breda","vrijstaande_woning",5000,4000,6000
"Brielle","vrijstaande_woning",4850,3880,5820
"Bronckhorst","vrijstaande_woning",4550,3640,5460
"Brummen","vrijstaande_woning",4500,3600,5400
"Brunssum","vrijstaande_woning",4600,3680,5520
"Bunnik","vrijstaande_woning",4850,3880,5820
"Bunschoten","vrijstaande_woning",5450,4360,6540
"Buren","vrijstaande_woning",4800,3840,5760
"Bussum","vrijstaande_woning",5500,4400,6600
"Capelle aan den IJssel","vrijstaande_woning",5350,4280,6420
"Castricum","vrijstaande_woning",4450,3560,5340
"Coevorden","vrijstaande_woning",4350,3480,5220
"Cranendonck","vrijstaande_woning",4800,3840,5760
"Cromstrijen","vrijstaande_woning",4500,3600,5400
"Cuijk","vrijstaande_woning",4800,3840,5760
"Culemborg","vrijstaande_woning",4750,3800,5700
"Dalfsen","vrijstaande_woning",4350,3480,5220
"Dantumadiel","vrijstaande_woning",3550,2840,4260
"Delft","vrijstaande_woning",4450,3560,5340
"Delfzijl","vrijstaande_woning",3900,3120,4680
"Deurne","vrijstaande_woning",4900,3920,5880
"Deventer","vrijstaande_woning",4750,3800,5700
"Diemen","vrijstaande_woning",5000,4000,6000
"Dinkelland","vrijstaande_woning",4800,3840,5760
"Dirksland","vrijstaande_woning",4400,3520,5280
"Doesburg","vrijstaande_woning",4550,3640,5460
"Doetinchem","vrijstaande_woning",4700,3760,5640
"Dongen","vrijstaande_woning",4650,3720,5580
"Dongeradeel","vrijstaande_woning",3500,2800,4200
"Dordrecht","vrijstaande_woning",4800,3840,5760
"Drechterland","vrijstaande_woning",4450,3560,5340
"Drimmelen","vrijstaande_woning",4550,3640,5460
"Dronten","vrijstaande_woning",4650,3720,5580
"Druten","vrijstaande_woning",4750,3800,5700
"Duiven","vrijstaande_woning",4750,3800,5700
"Echt-Susteren","vrijstaande_woning",4550,3640,5460
"Edam-Volendam","vrijstaande_woning",4300,3440,5160
"Ede","vrijstaande_woning",4750,3800,5700
"Eemnes","vrijstaande_woning",5000,4000,6000
"Eemsmond","vrijstaande_woning",3800,3040,4560
"Eersel","vrijstaande_woning",4750,3800,5700
"Eijsden-Margraten","vrijstaande_woning",4550,3640,5460
"Eindhoven","vrijstaande_woning",5250,4200,6300
"Elburg","vrijstaande_woning",4400,3520,5280
"Emmen","vrijstaande_woning",4400,3520,5280
"Enkhuizen","vrijstaande_woning",4400,3520,5280
"Enschede","vrijstaande_woning",4850,3880,5820
"Epe","vrijstaande_woning",4450,3560,5340
"Ermelo","vrijstaande_woning",4650,3720,5580
"Etten-Leur","vrijstaande_woning",5050,4040,6060
"Ferwerderadiel","vrijstaande_woning",3450,2760,4140
"Franekeradeel","vrijstaande_woning",3650,2920,4380
"Gaasterlan-Sleat","vrijstaande_woning",3700,2960,4440
"Geertruidenberg","vrijstaande_woning",4750,3800,5700
"Geldermalsen","vrijstaande_woning",4750,3800,5700
"Geldrop-Mierlo","vrijstaande_woning",4950,3960,5940
"Gemert-Bakel","vrijstaande_woning",4850,3880,5820
"Gennep","vrijstaande_woning",4550,3640,5460
"Giessenlanden","vrijstaande_woning",4700,3760,5640
"Gilze en Rijen","vrijstaande_woning",4900,3920,5880
"Goedereede","vrijstaande_woning",4450,3560,5340
"Goes","vrijstaande_woning",4100,3280,4920
"Goirle","vrijstaande_woning",4950,3960,5940
"Gorinchem","vrijstaande_woning",4900,3920,5880
"Gouda","vrijstaande_woning",4950,3960,5940
"Graafstroom","vrijstaande_woning",4600,3680,5520
"Graft-De Rijp","vrijstaande_woning",4200,3360,5040
"Grave","vrijstaande_woning",4900,3920,5880
"'s-Gravenhage (gemeente)","vrijstaande_woning",5200,4160,6240
"Groesbeek","vrijstaande_woning",4600,3680,5520
"Groningen (gemeente)","vrijstaande_woning",4400,3520,5280
"Grootegast","vrijstaande_woning",4050,3240,4860
"Gulpen-Wittem","vrijstaande_woning",4250,3400,5100
"Haaksbergen","vrijstaande_woning",4700,3760,5640
"Haaren","vrijstaande_woning",4850,3880,5820
"Haarlem","vrijstaande_woning",4100,3280,4920
"Haarlemmerliede en Spaarnwoude","vrijstaande_woning",4600,3680,5520
"Haarlemmermeer","vrijstaande_woning",5100,4080,6120
"Halderberge","vrijstaande_woning",4650,3720,5580
"Hardenberg","vrijstaande_woning",4600,3680,5520
"Harderwijk","vrijstaande_woning",4900,3920,5880
"Hardinxveld-Giessendam","vrijstaande_woning",4250,3400,5100
"Haren","vrijstaande_woning",4750,3800,5700
"Harenkarspel","vrijstaande_woning",4450,3560,5340
"Harlingen","vrijstaande_woning",3900,3120,4680
"Hattem","vrijstaande_woning",4250,3400,5100
"Heemskerk","vrijstaande_woning",4700,3760,5640
"Heemstede","vrijstaande_woning",5250,4200,6300
"Heerde","vrijstaande_woning",4300,3440,5160
"Heerenveen","vrijstaande_woning",4000,3200,4800
"Heerhugowaard","vrijstaande_woning",4700,3760,5640
"Heerlen","vrijstaande_woning",4600,3680,5520
"Heeze-Leende","vrijstaande_woning",4700,3760,5640
"Heiloo","vrijstaande_woning",4200,3360,5040
"Den Helder","vrijstaande_woning",4400,3520,5280
"Hellendoorn","vrijstaande_woning",4400,3520,5280
"Hellevoetsluis","vrijstaande_woning",5050,4040,6060
"Helmond","vrijstaande_woning",5250,4200,6300
"Hendrik-Ido-Ambacht","vrijstaande_woning",5150,4120,6180
"Hengelo (O.)","vrijstaande_woning",4600,3680,5520
"'s-Hertogenbosch","vrijstaande_woning",5150,4120,6180
"Heumen","vrijstaande_woning",4750,3800,5700
"Heusden","vrijstaande_woning",5000,4000,6000
"Hillegom","vrijstaande_woning",4850,3880,5820
"Hilvarenbeek","vrijstaande_woning",4950,3960,5940
"Hilversum","vrijstaande_woning",5400,4320,6480
"Hof van Twente","vrijstaande_woning",4700,3760,5640
"Hollands Kroon","vrijstaande_woning",4400,3520,5280
"Hoogeveen","vrijstaande_woning",4300,3440,5160
"Hoogezand-Sappemeer","vrijstaande_woning",4200,3360,5040
"Hoorn","vrijstaande_woning",4750,3800,5700
"Horst aan de Maas","vrijstaande_woning",5000,4000,6000
"Houten","vrijstaande_woning",5150,4120,6180
"Huizen","vrijstaande_woning",5400,4320,6480
"Hulst","vrijstaande_woning",3650,2920,4380
"IJsselstein","vrijstaande_woning",5100,4080,6120
"Kaag en Braassem","vrijstaande_woning",4700,3760,5640
"Kampen","vrijstaande_woning",4500,3600,5400
"Kapelle","vrijstaande_woning",4000,3200,4800
"Katwijk","vrijstaande_woning",5100,4080,6120
"Kerkrade","vrijstaande_woning",4550,3640,5460
"Koggenland","vrijstaande_woning",4550,3640,5460
"Kollumerland en Nieuwkruisland","vrijstaande_woning",3550,2840,4260
"Korendijk","vrijstaande_woning",4550,3640,5460
"Krimpen aan den IJssel","vrijstaande_woning",4650,3720,5580
"Laarbeek","vrijstaande_woning",5000,4000,6000
"Landerd","vrijstaande_woning",5050,4040,6060
"Landgraaf","vrijstaande_woning",4600,3680,5520
"Landsmeer","vrijstaande_woning",4750,3800,5700
"Langedijk","vrijstaande_woning",4400,3520,5280
"Lansingerland","vrijstaande_woning",5300,4240,6360
"Laren (NH.)","vrijstaande_woning",5600,4480,6720
"Leek","vrijstaande_woning",4300,3440,5160
"Leerdam","vrijstaande_woning",4600,3680,5520
"Leeuwarden","vrijstaande_woning",4050,3240,4860
"Leeuwarderadeel","vrijstaande_woning",3650,2920,4380
"Leiden","vrijstaande_woning",4450,3560,5340
"Leiderdorp","vrijstaande_woning",5250,4200,6300
"Leidschendam-Voorburg","vrijstaande_woning",4800,3840,5760
"Lelystad","vrijstaande_woning",5050,4040,6060
"Lemsterland","vrijstaande_woning",3800,3040,4560
"Leudal","vrijstaande_woning",4800,3840,5760
"Leusden","vrijstaande_woning",5050,4040,6060
"Liesveld","vrijstaande_woning",4400,3520,5280
"Lingewaal","vrijstaande_woning",4750,3800,5700
"Lingewaard","vrijstaande_woning",4800,3840,5760
"Lisse","vrijstaande_woning",4900,3920,5880
"Littenseradiel","vrijstaande_woning",3700,2960,4440
"Lochem","vrijstaande_woning",4550,3640,5460
"Loon op Zand","vrijstaande_woning",5100,4080,6120
"Lopik","vrijstaande_woning",4900,3920,5880
"Loppersum","vrijstaande_woning",3800,3040,4560
"Losser","vrijstaande_woning",4700,3760,5640
"Maasdonk","vrijstaande_woning",5000,4000,6000
"Maasdriel","vrijstaande_woning",4850,3880,5820
"Maasgouw","vrijstaande_woning",4650,3720,5580
"Maassluis","vrijstaande_woning",4250,3400,5100
"Maastricht","vrijstaande_woning",4900,3920,5880
"De Marne","vrijstaande_woning",3550,2840,4260
"Marum","vrijstaande_woning",4100,3280,4920
"Medemblik","vrijstaande_woning",4400,3520,5280
"Meerssen","vrijstaande_woning",4700,3760,5640
"Menameradiel","vrijstaande_woning",3750,3000,4500
"Menterwolde","vrijstaande_woning",4100,3280,4920
"Meppel","vrijstaande_woning",4300,3440,5160
"Middelburg (Z.)","vrijstaande_woning",3900,3120,4680
"Middelharnis","vrijstaande_woning",4500,3600,5400
"Midden-Delfland","vrijstaande_woning",4750,3800,5700
"Midden-Drenthe","vrijstaande_woning",4350,3480,5220
"Mill en Sint Hubert","vrijstaande_woning",4950,3960,5940
"Millingen aan de Rijn","vrijstaande_woning",4450,3560,5340
"Moerdijk","vrijstaande_woning",4800,3840,5760
"Montferland","vrijstaande_woning",4600,3680,5520
"Montfoort","vrijstaande_woning",4950,3960,5940
"Mook en Middelaar","vrijstaande_woning",4750,3800,5700
"Muiden","vrijstaande_woning",4500,3600,5400
"Naarden","vrijstaande_woning",5550,4440,6660
"Neder-Betuwe","vrijstaande_woning",5000,4000,6000
"Nederlek","vrijstaande_woning",4450,3560,5340
"Nederweert","vrijstaande_woning",5050,4040,6060
"Neerijnen","vrijstaande_woning",4750,3800,5700
"Nieuwegein","vrijstaande_woning",5000,4000,6000
"Nieuwkoop","vrijstaande_woning",4700,3760,5640
"Nieuw-Lekkerland","vrijstaande_woning",4500,3600,5400
"Nijkerk","vrijstaande_woning",4950,3960,5940
"Nijmegen","vrijstaande_woning",4900,3920,5880
"Noord-Beveland","vrijstaande_woning",3250,2600,3900
"Noordenveld","vrijstaande_woning",3950,3160,4740
"Noordoostpolder","vrijstaande_woning",4800,3840,5760
"Noordwijk","vrijstaande_woning",5000,4000,6000
"Noordwijkerhout","vrijstaande_woning",4800,3840,5760
"Nuenen, Gerwen en Nederwetten","vrijstaande_woning",5000,4000,6000
"Nunspeet","vrijstaande_woning",4400,3520,5280
"Nuth","vrijstaande_woning",4650,3720,5580
"Oegstgeest","vrijstaande_woning",5400,4320,6480
"Oirschot","vrijstaande_woning",5050,4040,6060
"Oisterwijk","vrijstaande_woning",5050,4040,6060
"Oldambt","vrijstaande_woning",4000,3200,4800
"Oldebroek","vrijstaande_woning",4400,3520,5280
"Oldenzaal","vrijstaande_woning",4700,3760,5640
"Olst-Wijhe","vrijstaande_woning",4500,3600,5400
"Ommen","vrijstaande_woning",4250,3400,5100
"Onderbanken","vrijstaande_woning",4600,3680,5520
"Oost Gelre","vrijstaande_woning",4550,3640,5460
"Oosterhout","vrijstaande_woning",5000,4000,6000
"Oostflakkee","vrijstaande_woning",4450,3560,5340
"Ooststellingwerf","vrijstaande_woning",3850,3080,4620
"Oostzaan","vrijstaande_woning",4550,3640,5460
"Opmeer","vrijstaande_woning",4550,3640,5460
"Opsterland","vrijstaande_woning",3850,3080,4620
"Oss","vrijstaande_woning",4900,3920,5880
"Oud-Beijerland","vrijstaande_woning",4600,3680,5520
"Oude IJsselstreek","vrijstaande_woning",4400,3520,5280
"Ouder-Amstel","vrijstaande_woning",5950,4760,7140
"Ouderkerk","vrijstaande_woning",4400,3520,5280
"Oudewater","vrijstaande_woning",4900,3920,5880
"Overbetuwe","vrijstaande_woning",4750,3800,5700
"Papendrecht","vrijstaande_woning",4800,3840,5760
"Peel en Maas","vrijstaande_woning",5000,4000,6000
"Pekela","vrijstaande_woning",4050,3240,4860
"Pijnacker-Nootdorp","vrijstaande_woning",4900,3920,5880
"Purmerend","vrijstaande_woning",4900,3920,5880
"Putten","vrijstaande_woning",4650,3720,5580
"Raalte","vrijstaande_woning",4400,3520,5280
"Reimerswaal","vrijstaande_woning",4000,3200,4800
"Renkum","vrijstaande_woning",4650,3720,5580
"Renswoude","vrijstaande_woning",4950,3960,5940
"Reusel-De Mierden","vrijstaande_woning",4900,3920,5880
"Rheden","vrijstaande_woning",4550,3640,5460
"Rhenen","vrijstaande_woning",4800,3840,5760
"Ridderkerk","vrijstaande_woning",4650,3720,5580
"Rijnwaarden","vrijstaande_woning",4500,3600,5400
"Rijnwoude","vrijstaande_woning",4700,3760,5640
"Rijssen-Holten","vrijstaande_woning",4500,3600,5400
"Rijswijk (ZH.)","vrijstaande_woning",5100,4080,6120
"Roerdalen","vrijstaande_woning",4450,3560,5340
"Roermond","vrijstaande_woning",4600,3680,5520
"De Ronde Venen","vrijstaande_woning",5050,4040,6060
"Roosendaal","vrijstaande_woning",4650,3720,5580
"Rotterdam","vrijstaande_woning",5150,4120,6180
"Rozendaal","vrijstaande_woning",5550,4440,6660
"Rucphen","vrijstaande_woning",4750,3800,5700
"Schagen","vrijstaande_woning",4350,3480,5220
"Schermer","vrijstaande_woning",4400,3520,5280
"Scherpenzeel","vrijstaande_woning",4450,3560,5340
"Schiedam","vrijstaande_woning",4750,3800,5700
"Schiermonnikoog","vrijstaande_woning",3100,2480,3720
"Schijndel","vrijstaande_woning",5000,4000,6000
"Schinnen","vrijstaande_woning",4600,3680,5520
"Schoonhoven","vrijstaande_woning",4600,3680,5520
"Schouwen-Duiveland","vrijstaande_woning",3900,3120,4680
"Simpelveld","vrijstaande_woning",4250,3400,5100
"Sint Anthonis","vrijstaande_woning",4850,3880,5820
"Sint-Michielsgestel","vrijstaande_woning",4850,3880,5820
"Sint-Oedenrode","vrijstaande_woning",5150,4120,6180
"Sittard-Geleen","vrijstaande_woning",4650,3720,5580
"Skarsterlân","vrijstaande_woning",3800,3040,4560
"Sliedrecht","vrijstaande_woning",4350,3480,5220
"Slochteren","vrijstaande_woning",4200,3360,5040
"Sluis","vrijstaande_woning",3350,2680,4020
"Smallingerland","vrijstaande_woning",3900,3120,4680
"Soest","vrijstaande_woning",5000,4000,6000
"Someren","vrijstaande_woning",5200,4160,6240
"Son en Breugel","vrijstaande_woning",5300,4240,6360
"Spijkenisse","vrijstaande_woning",5100,4080,6120
"Stadskanaal","vrijstaande_woning",4100,3280,4920
"Staphorst","vrijstaande_woning",4450,3560,5340
"Stede Broec","vrijstaande_woning",4250,3400,5100
"Steenbergen","vrijstaande_woning",4700,3760,5640
"Steenwijkerland","vrijstaande_woning",4100,3280,4920
"Stein (L.)","vrijstaande_woning",4400,3520,5280
"Stichtse Vecht","vrijstaande_woning",4950,3960,5940
"Strijen","vrijstaande_woning",4500,3600,5400
"Sudwest-Fryslan","vrijstaande_woning",3600,2880,4320
"Terneuzen","vrijstaande_woning",3650,2920,4380
"Terschelling","vrijstaande_woning",3750,3000,4500
"Texel","vrijstaande_woning",4050,3240,4860
"Teylingen","vrijstaande_woning",5200,4160,6240
"Tholen","vrijstaande_woning",4350,3480,5220
"Tiel","vrijstaande_woning",4800,3840,5760
"Tilburg","vrijstaande_woning",5100,4080,6120
"Tubbergen","vrijstaande_woning",4950,3960,5940
"Twenterand","vrijstaande_woning",4450,3560,5340
"Tynaarlo","vrijstaande_woning",4200,3360,5040
"Tytsjerksteradiel","vrijstaande_woning",3600,2880,4320
"Ubbergen","vrijstaande_woning",4700,3760,5640
"Uden","vrijstaande_woning",5200,4160,6240
"Uitgeest","vrijstaande_woning",4400,3520,5280
"Uithoorn","vrijstaande_woning",5000,4000,6000
"Urk","vrijstaande_woning",4700,3760,5640
"Utrecht (gemeente)","vrijstaande_woning",4950,3960,5940
"Utrechtse Heuvelrug","vrijstaande_woning",4950,3960,5940
"Vaals","vrijstaande_woning",4300,3440,5160
"Valkenburg aan de Geul","vrijstaande_woning",4450,3560,5340
"Valkenswaard","vrijstaande_woning",5050,4040,6060
"Veendam","vrijstaande_woning",4050,3240,4860
"Veenendaal","vrijstaande_woning",5000,4000,6000
"Veere","vrijstaande_woning",3600,2880,4320
"Veghel","vrijstaande_woning",5050,4040,6060
"Veldhoven","vrijstaande_woning",4850,3880,5820
"Velsen","vrijstaande_woning",4650,3720,5580
"Venlo","vrijstaande_woning",5000,4000,6000
"Venray","vrijstaande_woning",5050,4040,6060
"Vianen","vrijstaande_woning",4700,3760,5640
"Vlaardingen","vrijstaande_woning",4800,3840,5760
"Vlagtwedde","vrijstaande_woning",4000,3200,4800
"Vlieland","vrijstaande_woning",3900,3120,4680
"Vlissingen","vrijstaande_woning",3950,3160,4740
"Vlist","vrijstaande_woning",4600,3680,5520
"Voerendaal","vrijstaande_woning",4450,3560,5340
"Voorschoten","vrijstaande_woning",5200,4160,6240
"Voorst","vrijstaande_woning",4700,3760,5640
"Vught","vrijstaande_woning",5100,4080,6120
"Waalre","vrijstaande_woning",5250,4200,6300
"Waalwijk","vrijstaande_woning",4800,3840,5760
"Waddinxveen","vrijstaande_woning",4700,3760,5640
"Wageningen","vrijstaande_woning",4400,3520,5280
"Wassenaar","vrijstaande_woning",5700,4560,6840
"Waterland","vrijstaande_woning",4400,3520,5280
"Weert","vrijstaande_woning",4700,3760,5640
"Weesp","vrijstaande_woning",4400,3520,5280
"Werkendam","vrijstaande_woning",4600,3680,5520
"West Maas en Waal","vrijstaande_woning",4700,3760,5640
"Westerveld","vrijstaande_woning",4100,3280,4920
"Westervoort","vrijstaande_woning",4600,3680,5520
"Westland","vrijstaande_woning",5150,4120,6180
"Weststellingwerf","vrijstaande_woning",3900,3120,4680
"Westvoorne","vrijstaande_woning",4800,3840,5760
"Wierden","vrijstaande_woning",4850,3880,5820
"Wijchen","vrijstaande_woning",4800,3840,5760
"Wijdemeren","vrijstaande_woning",5100,4080,6120
"Wijk bij Duurstede","vrijstaande_woning",5100,4080,6120
"Winsum","vrijstaande_woning",3750,3000,4500
"Winterswijk","vrijstaande_woning",4500,3600,5400
"Woensdrecht","vrijstaande_woning",4600,3680,5520
"Woerden","vrijstaande_woning",5000,4000,6000
"De Wolden","vrijstaande_woning",4350,3480,5220
"Wormerland","vrijstaande_woning",4450,3560,5340
"Woudenberg","vrijstaande_woning",5100,4080,6120
"Woudrichem","vrijstaande_woning",4750,3800,5700
"Zaanstad","vrijstaande_woning",4050,3240,4860
"Zaltbommel","vrijstaande_woning",4700,3760,5640
"Zandvoort","vrijstaande_woning",5300,4240,6360
"Zederik","vrijstaande_woning",4450,3560,5340
"Zeevang","vrijstaande_woning",4600,3680,5520
"Zeewolde","vrijstaande_woning",5150,4120,6180
"Zeist","vrijstaande_woning",5500,4400,6600
"Zevenaar","vrijstaande_woning",4550,3640,5460
"Zijpe","vrijstaande_woning",4200,3360,5040
"Zoetermeer","vrijstaande_woning",5050,4040,6060
"Zoeterwoude","vrijstaande_woning",4500,3600,5400
"Zuidhorn","vrijstaande_woning",3900,3120,4680
"Zuidplas","vrijstaande_woning",5050,4040,6060
"Zundert","vrijstaande_woning",4700,3760,5640
"Zutphen","vrijstaande_woning",4300,3440,5160
"Zwartewaterland","vrijstaande_woning",4400,3520,5280
"Zwijndrecht","vrijstaande_woning",4950,3960,5940
"Zwolle","vrijstaande_woning",4750,3800,5700
